Title,URL,Points
Boot a Virtual iPhone via Apple's Virtualization.framework,https://github.com/Lakr233/vphone-cli,180
GUIs should be fully keyboard-driven,https://ckardaris.com/blog/2026/08/28/keyboard-driven-guis.html,687
TurboKV: Insanely fast Rust key-value store,https://github.com/kingroryg/turbokv,43
9th Circuit sides with states in Kalshi gambling fight,https://azmirror.com/2026/08/28/9th-circuit-sides-with-states-in-kalshi-gambling-fight-potentially-reviving-arizonas-prosecution/,97
Htmx 4.0,https://four.htmx.org/announcements/2026-08-28-htmx-4.0.0-is-released,579
Our decision on Cursor following its acquisition by SpaceX,https://openai.com/index/our-decision-on-cursor-following-its-acquisition-by-spacex/,260
Does the Sumerian King List Align with Paleoclimate Events?,https://www.vectorian.be/articles/2026-06-07/sumerian-king-list-paleoclimate-alignment-explorer/,74
I accidentally turned LLM memory into program analysis,https://pwning.systems/posts/llm-memory-program-analysis/,72
"StemDeck, a free, open-source and local AI stem separator",https://github.com/stemdeckapp/stemdeck,50
U.S. sanctions against the A/I Collective,https://www.inventati.org/,533
🗓️ Monthly Dev Report: August 2026,https://dev.to/francistrdev/monthly-dev-report-august-2026-4mh2,Dev.to Article
What was your win this week?!,https://dev.to/devteam/what-was-your-win-this-week-51oc,Dev.to Article
10 Git Commands You’ll Wish You Knew Earlier,https://dev.to/sylwia-lask/10-git-commands-youll-wish-you-knew-earlier-4fcp,Dev.to Article
What Do You Do While AI Codes?,https://dev.to/anchildress1/what-do-you-do-while-ai-codes-k8k,Dev.to Article
What two months of interviewing taught me about the 2026 tech job market,https://dev.to/ale3oula/what-two-months-of-interviewing-taught-me-about-the-2026-tech-job-market-3d8n,Dev.to Article
"16 Posts, Started Commenting, then got the Shield",https://dev.to/ndcodes/16-posts-started-commenting-then-got-the-shield-bk3,Dev.to Article
Your AI Remembers Everything and Trusts All of It,https://dev.to/marcosomma/your-ai-remembers-everything-and-trusts-all-of-it-4gg,Dev.to Article
Go Doesn't Force Clean Architecture. That's Your Job.,https://dev.to/adamthedeveloper/go-doesnt-force-clean-architecture-thats-your-job-116,Dev.to Article
"Gemma 4 in Pure JAX: What Ports from TPU to GPU, and What Doesn't",https://dev.to/gde/gemma-4-in-pure-jax-what-ports-from-tpu-to-gpu-and-what-doesnt-3m09,Dev.to Article
Accelerating JVM startup on GKE: How VPA CPU startup boost eliminates ongoing resource waste,https://dev.to/googlecloud/accelerating-jvm-startup-on-gke-how-vpa-cpu-startup-boost-eliminates-ongoing-resource-waste-33i2,Dev.to Article
